network_size,exp,tries,time[us]
1000,0,404,56002716
1000,1,7,953064
1000,2,442,50322242
1000,3,1278,149314360
1000,4,243,31159614
1000,5,1494,169721650
1000,6,651,73813000
1000,7,290,33630548
1000,8,1766,201044625
1000,9,2329,268736270
1000,10,1058,118718106
1000,11,323,36019830
1000,12,623,72833418
1000,13,1003,113954400
1000,14,1599,178464664
1000,15,889,107616330
1000,16,412,47579082
1000,17,496,56539743
1000,18,499,57002850
1000,19,491,55029032
1000,20,2029,227976153
1000,21,110,12229980
1000,22,1702,197177328
1000,23,1913,214601415
1000,24,1950,225008160
1000,25,1268,147072968
1000,26,4412,519188184
1000,27,566,67265856
1000,28,15,1775288
1000,29,98,11137135
1000,30,2148,253974600
1000,31,565,66107314
1000,32,151,18396136
1000,33,830,95260704
1000,34,2034,230045352
1000,35,162,18819348
1000,36,1141,134680770
1000,37,788,89223218
1000,38,143,16217964
1000,39,321,37208014
1000,40,555,63652050
1000,41,1020,119584358
1000,42,150,17510742
1000,43,893,102847521
1000,44,178,22120988
1000,45,1168,142166309
1000,46,571,72539005
1000,47,56,6836500
1000,48,1016,131383356
1000,49,43,5246667
1000,50,1114,135700882
1000,51,198,23423490
1000,52,68,8270325
1000,53,2199,263583560
1000,54,1062,123160389
1000,55,584,66863538
1000,56,592,69080730
1000,57,197,23004486
1000,58,651,80576790
1000,59,380,46386540
1000,60,754,98671722
1000,61,501,57274210
1000,62,788,95868927
1000,63,857,99884352
1000,64,1528,175997628
1000,65,1970,231706770
1000,66,768,89512821
1000,67,1393,162208020
1000,68,267,32018512
1000,69,1345,152130675
1000,70,448,57578145
1000,71,2051,327212831
1000,72,1797,233055420
1000,73,350,44401001
1000,74,1809,230887376
1000,75,1166,147073695
1000,76,602,77877694
1000,77,4780,608627840
1000,78,2967,380095126
1000,79,438,55222695
1000,80,756,92326211
1000,81,974,126883013
1000,82,185,21117320
1000,83,140,18925988
1000,84,609,70957425
1000,85,280,32167304
1000,86,217,26208993
1000,87,1535,197564848
1000,88,486,55912164
1000,89,346,40183214
1000,90,448,50750232
1000,91,1580,183092390
1000,92,1740,199430970
1000,93,377,43339740
1000,94,809,92919450
1000,95,745,85239352
1000,96,164,18118720
1000,97,344,39834168
1000,98,634,74690424
1000,99,295,34015210
2000,0,2051,233088750
2000,1,1445,164934660
2000,2,2768,321004074
2000,3,2732,351191798
2000,4,87,12842320
2000,5,4305,555846215
2000,6,1944,284190530
2000,7,141,19162477
2000,8,2902,340386144
2000,9,836,94138176
2000,10,1460,165357906
2000,11,716,82702296
2000,12,2903,341257176
2000,13,2852,324886753
2000,14,1046,122020950
2000,15,85,9791327
2000,16,1264,146624930
2000,17,444,52530880
2000,18,3629,429056100
2000,19,275,33748719
2000,20,888,107119968
2000,21,3265,383843456
2000,22,4703,591993792
2000,23,564,73252493
2000,24,594,80797998
2000,25,68,7974720
2000,26,1548,197277184
2000,27,314,39579030
2000,28,1110,138766690
2000,29,2523,318879220
2000,30,1460,172731900
2000,31,2068,244805711
2000,32,537,64335637
2000,33,2229,263538726
2000,34,32,3984900
2000,35,727,92846976
2000,36,388,45406830
2000,37,1407,171699894
2000,38,1138,132473355
2000,39,460,53656050
2000,40,1182,131584284
2000,41,3516,411548676
2000,42,260,31123216
2000,43,9879,1190294482
2000,44,921,106056404
2000,45,1016,117652730
2000,46,54,6068700
2000,47,1553,177657992
2000,48,1634,188725778
2000,49,1856,213265108
2000,50,483,57344595
2000,51,275,31837596
2000,52,2938,335856633
2000,53,4048,461301742
2000,54,107,12555102
2000,55,624,74350580
2000,56,1345,156954375
2000,57,408,47051816
2000,58,926,103227750
2000,59,106,13491945
2000,60,2202,248438215
2000,61,2703,310985396
2000,62,1075,126028867
2000,63,3903,446846768
2000,64,322,36690330
2000,65,207,23294400
2000,66,841,105213622
2000,67,650,74309445
2000,68,1819,220948000
2000,69,2773,328531833
2000,70,1911,217640857
2000,71,266,30601416
2000,72,153,17255424
2000,73,85,9667536
2000,74,3036,350892408
2000,75,357,40646886
2000,76,280,32989947
2000,77,3275,380344548
2000,78,4340,505265600
2000,79,1364,157646344
2000,80,1887,215034512
2000,81,1464,204348326
2000,82,663,117348855
2000,83,202,33612792
2000,84,1044,173307225
2000,85,1917,270918813
2000,86,207,32285075
2000,87,1164,183147730
2000,88,95,15917628
2000,89,1760,264140000
2000,90,1085,141431112
2000,91,3060,407539188
2000,92,2928,376224331
2000,93,318,38541216
2000,94,2715,321708608
2000,95,169,21491340
2000,96,939,110557832
2000,97,4875,556548846
2000,98,1574,183782537
2000,99,1189,134065503
3000,0,8182,929210304
3000,1,191,21887525
3000,2,1561,192536271
3000,3,1911,221209380
3000,4,3466,400134375
3000,5,3348,391650819
3000,6,1704,194530304
3000,7,4703,536657156
3000,8,1452,165235584
3000,9,3265,395279524
3000,10,1896,227360914
3000,11,296,34679488
3000,12,1695,193917990
3000,13,701,80375035
3000,14,6591,772032927
3000,15,12476,1465451952
3000,16,372,43303520
3000,17,5717,663180126
3000,18,1343,152349560
3000,19,1384,162988844
3000,20,3837,438512775
3000,21,328,38021571
3000,22,840,97339999
3000,23,632,72448000
3000,24,3418,424715625
3000,25,1755,219931404
3000,26,12140,1451549075
3000,27,11596,1337645511
3000,28,4405,507555402
3000,29,1699,194270324
3000,30,1313,149364594
3000,31,7430,850793456
3000,32,1313,151897060
3000,33,4637,526355272
3000,34,1504,174790500
3000,35,1303,149087104
3000,36,1097,127008276
3000,37,6829,777339783
3000,38,1988,223817776
3000,39,277,30668075
3000,40,8599,978771250
3000,41,6749,819112500
3000,42,269,32038457
3000,43,5489,713408248
3000,44,5628,950506333
3000,45,6874,797669840
3000,46,2198,253653216
3000,47,2890,330548664
3000,48,401,46012252
3000,49,2382,272489272
3000,50,4112,471515252
3000,51,585,65298768
3000,52,1172,135865175
3000,53,4450,507273182
3000,54,1355,161672748
