network_size,exp,tries,time[us]
1000,0,404,9988
1000,1,7,168
1000,2,442,9118
1000,3,1278,26260
1000,4,243,5514
1000,5,1494,30275
1000,6,651,13240
1000,7,290,5924
1000,8,1766,36375
1000,9,2329,47438
1000,10,1058,21437
1000,11,323,6510
1000,12,623,12798
1000,13,1003,20349
1000,14,1599,32354
1000,15,889,18990
1000,16,412,8457
1000,17,496,10023
1000,18,499,10089
1000,19,491,9908
1000,20,2029,41099
1000,21,110,2220
1000,22,1702,34911
1000,23,1913,38983
1000,24,1950,40440
1000,25,1268,26003
1000,26,4412,92646
1000,27,566,11952
1000,28,15,316
1000,29,98,1987
1000,30,2148,45450
1000,31,565,11717
1000,32,151,3278
1000,33,830,17248
1000,34,2034,41592
1000,35,162,3363
1000,36,1141,23905
1000,37,788,16114
1000,38,143,2919
1000,39,321,6623
1000,40,555,11550
1000,41,1020,21061
1000,42,150,3078
1000,43,893,18669
1000,44,178,3953
1000,45,1168,25283
1000,46,571,12905
1000,47,56,1243
1000,48,1016,23074
1000,49,43,951
1000,50,1114,24433
1000,51,198,4194
1000,52,68,1475
1000,53,2199,46324
1000,54,1062,21989
1000,55,584,12054
1000,56,592,12190
1000,57,197,4038
1000,58,651,14645
1000,59,380,8313
1000,60,754,17551
1000,61,501,10357
1000,62,788,16989
1000,63,857,17939
1000,64,1528,31139
1000,65,1970,40686
1000,66,768,15993
1000,67,1393,28684
1000,68,267,5669
1000,69,1345,27525
1000,70,448,10291
1000,71,2051,58883
1000,72,1797,40930
1000,73,350,7933
1000,74,1809,40952
1000,75,1166,26193
1000,76,602,13813
1000,77,4780,109940
1000,78,2967,68093
1000,79,438,9977
1000,80,756,16747
1000,81,974,22493
1000,82,185,3710
1000,83,140,3428
1000,84,609,12705
1000,85,280,5798
1000,86,217,4713
1000,87,1535,35204
1000,88,486,10164
1000,89,346,7097
1000,90,448,9164
1000,91,1580,33085
1000,92,1740,35670
1000,93,377,7698
1000,94,809,16575
1000,95,745,15254
1000,96,164,3280
1000,97,344,7018
1000,98,634,13122
1000,99,295,6170
2000,0,2051,41438
2000,1,1445,29590
2000,2,2768,57507
2000,3,2732,62423
2000,4,87,2290
2000,5,4305,98467
2000,6,1944,50830
2000,7,141,3397
2000,8,2902,60256
2000,9,836,16907
2000,10,1460,29967
2000,11,716,14904
2000,12,2903,61256
2000,13,2852,58213
2000,14,1046,21475
2000,15,85,1729
2000,16,1264,26155
2000,17,444,9448
2000,18,3629,75273
2000,19,275,5987
2000,20,888,18966
2000,21,3265,69739
2000,22,4703,105412
2000,23,564,12949
2000,24,594,14298
2000,25,68,1404
2000,26,1548,35456
2000,27,314,7074
2000,28,1110,24985
2000,29,2523,57065
2000,30,1460,30790
2000,31,2068,43583
2000,32,537,11507
2000,33,2229,47553
2000,34,32,718
2000,35,727,16512
